classname,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,Unnamed:23
org::eclipse::pde::ui::templates::OptionTemplateSection,35,3,27,8,153,1,1,7,113.0,18.0,55,1,1,0.0,12,65.0,37.0,0,0,0,0,0,
org::eclipse::pde::internal::core::util::PDETextHelper,34,1,27,7,66,0,1,0,283.0,12.0,6,0,7,0.0,5,87.0,57.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::templates::ide::SplashHandlersTemplate,13,5,0,13,378,0,13,13,214.0,28.0,80,13,11,0.0,12,93.0,45.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::toc::TocFormOutlinePage,8,3,2,7,10,0,0,4,30.0,5.0,21,0,0,0.0,2,15.0,10.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::ctxhelp::details::CtxHelpRemoveAction,2,1,1,1,15,0,2,0,43.0,6.0,0,2,1,0.0,5,13.0,13.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::templates::ide::MultiPageEditorNewWizard,3,6,0,3,3,0,0,0,10.0,3.0,20,0,0,0.0,3,7.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::runtime::registry::PluginAdapter,4,3,2,2,1,0,0,1,16.0,2.0,5,0,0,0.0,1,4.0,2.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::actions::ActionMenu,1,1,1,0,10,0,2,0,26.0,5.0,0,0,0,2.0,4,11.0,9.0,0,0,0,0,0,
org::eclipse::pde::internal::core::text::plugin::XMLTextChangeListener,11,3,1,10,210,0,2,3,411.0,21.0,10,2,9,0.0,4,226.0,105.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::compare::PluginContentMergeViewer,6,1,1,5,15,0,1,0,45.0,6.0,0,1,0,0.0,2,17.0,10.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::plugin::MatchSection,15,3,2,13,120,0,7,0,215.0,16.0,21,6,8,0.0,7,101.0,46.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::JarEntryFile,6,1,2,4,28,0,2,0,36.0,8.0,0,2,0,0.0,8,25.0,11.0,0,0,0,0,0,
org::eclipse::pde::internal::core::JavaElementChangeListener,14,1,2,13,91,0,2,0,147.0,14.0,6,2,9,0.0,5,93.0,50.0,0,0,0,0,0,
org::eclipse::pde::ui::launcher::AbstractLaunchShortcut,4,1,2,2,36,2,0,0,65.0,9.0,6,0,2,0.0,0,34.0,14.0,0,0,0,0,0,
org::eclipse::pde::internal::runtime::spy::handlers::SpyHandler,1,1,0,1,1,0,1,0,15.0,2.0,0,1,0,0.0,2,7.0,6.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::cheatsheet::comp::CompCSPage,15,2,2,14,28,0,2,0,95.0,8.0,29,1,1,0.0,5,48.0,21.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::templates::osgi::HelloOSGiServiceNewWizard,2,6,0,2,3,0,0,0,10.0,3.0,20,0,0,0.0,3,6.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::exports::ProductDestinationGroup,5,3,1,5,10,0,0,11,84.0,5.0,23,0,0,0.0,2,26.0,16.0,1,0,0,0,0,
org::eclipse::pde::internal::ui::search::FindReferencesAction,7,2,0,7,3,0,2,0,38.0,3.0,3,2,1,0.0,1,31.0,12.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::exports::FeatureExportWizard,17,3,1,16,21,0,2,13,84.0,7.0,18,2,1,0.0,2,54.0,15.0,2,0,0,0,0,
org::eclipse::pde::internal::ui::elements::ElementLabelProvider,2,1,1,1,3,1,1,0,15.0,3.0,0,0,0,0.0,3,7.0,5.0,0,0,0,0,0,
org::eclipse::pde::internal::core::util::PDEXMLHelper,19,1,15,4,66,0,8,0,138.0,12.0,6,0,0,0.0,11,59.0,35.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::ModelDataTransfer,15,1,11,4,15,0,4,0,62.0,6.0,0,3,0,0.0,2,21.0,10.0,0,0,0,0,0,
org::eclipse::pde::internal::core::ModelProviderEvent,5,1,5,0,15,0,5,4,22.0,6.0,11,5,0,0.0,6,6.0,9.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::properties::CompilersPropertyPage,2,1,0,2,36,0,4,0,75.0,9.0,0,4,2,0.0,4,38.0,13.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::launcher::RunWorkbenchAction,2,1,0,2,0,0,0,0,9.0,1.0,0,0,0,0.0,1,4.0,1.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::preferences::EditorPreferencePage,6,1,0,6,28,0,3,11,70.0,8.0,0,3,2,0.0,4,32.0,8.0,1,0,0,0,0,
org::eclipse::pde::internal::core::build::BuildModel,14,4,8,6,6,2,3,1,41.0,4.0,63,2,0,0.0,4,28.0,10.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::views::dependencies::CalleesContentProvider,3,3,2,1,3,2,1,0,47.0,3.0,16,1,1,0.0,1,20.0,16.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::schema::SchemaPreviewLauncher,3,1,0,3,1,0,0,0,46.0,2.0,6,0,1,0.0,1,14.0,6.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::tests::macro::MacroPlugin,15,1,11,4,15,0,2,0,43.0,6.0,0,2,0,0.0,6,18.0,6.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::contentassist::TypeContentProposal,3,1,2,1,21,0,4,0,27.0,7.0,6,4,0,0.0,7,8.0,8.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::correction::RemoveExportPackageResolution,3,3,1,2,6,0,1,5,16.0,4.0,14,0,0,1.0,3,9.0,5.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::correction::RemoveBuildEntryResolution,3,3,1,2,3,0,0,7,20.0,3.0,14,0,0,0.0,2,8.0,6.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::product::BrandingPage,7,2,1,6,6,0,1,0,24.0,4.0,28,0,1,0.0,1,15.0,4.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::plugin::ManifestOutlinePage,7,3,1,6,3,0,0,4,37.0,3.0,21,0,0,0.0,1,19.0,19.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::parts::ComboPart,16,1,16,0,120,2,1,0,92.0,16.0,6,0,0,0.0,16,47.0,32.0,1,0,0,0,0,
org::eclipse::pde::ui::templates::RadioChoiceOption,6,4,1,5,15,0,2,1,72.0,6.0,34,2,1,0.0,2,30.0,16.0,0,0,0,0,0,
org::eclipse::pde::internal::core::PDEClasspathContainer,12,1,2,10,36,1,3,0,97.0,9.0,6,3,3,0.0,1,68.0,32.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::launcher::LaunchArgumentsHelper,28,1,11,17,120,0,0,0,280.0,16.0,6,0,3,0.0,13,156.0,75.0,5,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::imports::PluginImportWizard,11,1,0,11,55,0,5,0,115.0,11.0,0,5,4,0.0,7,60.0,28.0,1,0,0,0,0,
org::eclipse::pde::internal::core::product::ProductPlugin,4,3,1,3,10,0,2,0,19.0,5.0,32,2,0,0.0,5,12.0,7.0,1,0,1,1,0,
org::eclipse::pde::internal::ui::compare::PluginStructureCreator,12,1,1,11,105,0,5,0,152.0,15.0,0,0,11,0.0,3,65.0,35.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::ctxhelp::details::CtxHelpTopicDetails,11,4,1,10,55,0,3,0,95.0,11.0,34,3,1,0.0,6,56.0,16.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::plugin::NewLibraryPluginCreationPage,11,1,2,10,153,0,20,0,296.0,18.0,0,11,6,0.0,7,94.0,41.0,2,0,1,0,0,
org::eclipse::pde::internal::core::PluginModelManager,48,1,27,23,528,0,6,0,504.0,33.0,7,6,12,0.0,21,274.0,142.0,3,0,0,0,0,
org::eclipse::pde::internal::ui::correction::RemoveSeperatorBuildEntryResolution,4,3,1,3,3,0,0,7,13.0,3.0,14,0,0,0.0,2,8.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::nls::ExternalizeStringsWizardPage,20,1,2,19,171,0,27,0,378.0,19.0,0,23,14,0.0,4,135.0,57.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::product::ProductInfoSection,23,3,1,22,276,0,7,0,325.0,24.0,23,7,13,0.0,10,174.0,42.0,2,0,0,0,0,
org::eclipse::pde::internal::core::schema::SchemaType,2,1,2,0,10,2,3,0,16.0,5.0,15,3,0,0.0,5,5.0,5.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::PixelConverter,0,1,0,0,3,0,1,0,12.0,3.0,6,1,0,0.0,3,7.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::core::text::bundle::BundleVendorHeader,4,5,3,1,3,0,1,4,9.0,3.0,64,1,0,0.0,3,5.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::contentassist::display::BrowserInformationControl,10,1,2,8,300,0,20,0,230.0,25.0,6,20,1,0.0,24,77.0,55.0,1,0,0,0,0,
org::eclipse::pde::internal::core::build::WorkspaceBuildModel,26,5,17,9,78,0,4,2,62.0,13.0,72,4,0,0.0,12,35.0,14.0,1,0,1,0,0,
org::eclipse::pde::internal::core::schema::SchemaAttributeHandler,4,2,1,3,28,0,7,1,63.0,8.0,36,7,0,0.0,6,26.0,22.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::imports::PluginImportWizardDetailedPage,11,2,1,10,465,0,15,6,514.0,31.0,14,15,24,0.0,5,195.0,76.0,2,0,0,0,0,
org::eclipse::pde::internal::ui::views::dependencies::DependenciesViewTreePage,4,2,1,3,10,0,2,4,38.0,5.0,15,1,0,1.0,2,17.0,9.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::text::AbstractHyperlink,0,1,0,0,6,6,2,0,13.0,4.0,6,1,0,0.0,4,4.0,4.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::commands::CommandComposerPart,8,1,7,3,231,0,14,0,115.0,22.0,6,10,1,0.0,13,45.0,29.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::plugin::ExtensionLabelProvider,1,1,1,1,3,0,0,0,6.0,3.0,0,0,0,0.0,2,5.0,2.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::schema::SchemaEditor,19,3,2,17,210,0,1,1,152.0,21.0,72,1,1,0.0,9,67.0,35.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::correction::CreateManifestClassResolution,9,3,1,8,3,0,1,5,22.0,3.0,14,1,0,0.0,2,17.0,6.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::tests::macro::WaitCommand,2,2,1,1,15,0,2,0,42.0,6.0,18,1,1,0.0,5,17.0,11.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::schema::NewClassCreationWizard,3,2,1,2,3,0,4,1,62.0,3.0,6,4,1,0.0,2,23.0,17.0,0,0,0,0,0,
org::eclipse::pde::internal::core::BundleValidationOperation,2,1,1,1,10,0,4,0,35.0,5.0,6,4,0,0.0,5,16.0,11.0,0,0,0,0,0,
org::eclipse::pde::internal::core::target::Target,17,3,1,16,820,0,12,2,338.0,41.0,63,12,5,0.0,36,229.0,124.0,0,0,0,0,0,
org::eclipse::ui::internal::views::log::Group,3,2,2,1,3,1,1,1,14.0,3.0,11,1,0,0.0,3,6.0,4.0,0,0,0,0,0,
org::eclipse::ui::internal::views::log::LogEntry,12,2,5,7,231,0,10,1,220.0,22.0,11,9,3,0.0,14,87.0,62.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::feature::FeatureFormPage,11,2,1,11,66,0,3,0,163.0,12.0,28,2,5,0.0,5,79.0,12.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::search::PluginSearchResultPage,7,2,0,7,15,0,0,0,37.0,6.0,7,0,0,0.0,2,27.0,7.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::target::TargetEditorContributor,0,2,0,0,0,0,0,3,3.0,1.0,20,0,0,0.0,1,1.0,1.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::contentassist::XMLContentAssistProcessor,29,2,2,28,595,0,27,0,588.0,35.0,18,14,23,0.0,8,234.0,177.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::tests::macro::RecordBlock,10,1,3,7,66,0,2,2,70.0,12.0,9,2,3,0.0,9,47.0,17.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::text::BundleHyperlink,1,3,1,0,1,0,0,1,6.0,2.0,13,0,0,0.0,1,3.0,2.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::launcher::OSGiFrameworkManager,8,1,6,3,55,0,8,0,81.0,11.0,6,1,2,0.0,9,42.0,25.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::templates::PDETemplateMessages,0,1,0,0,0,0,235,0,0.0,0.0,0,1,0,234.0,0,0.0,0.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::refactoring::RenamePluginWizard,2,1,1,1,1,0,1,0,8.0,2.0,0,0,0,1.0,1,4.0,2.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::build::BuildOutlinePage,7,3,1,6,3,0,0,4,23.0,3.0,21,0,0,0.0,1,10.0,8.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::ctxhelp::details::CtxHelpAbstractAddAction,5,1,4,1,10,3,2,0,27.0,5.0,0,0,0,0.0,4,11.0,7.0,0,0,0,0,0,
org::eclipse::pde::internal::core::util::PDESchemaHelper,14,1,3,11,10,0,0,0,90.0,5.0,6,0,3,0.0,2,53.0,25.0,1,0,1,0,0,
org::eclipse::pde::internal::ui::preferences::ProjectSelectionDialog,4,1,1,3,10,0,6,0,84.0,5.0,0,6,1,0.0,1,25.0,8.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::exports::ProductExportWizard,21,2,1,20,36,0,5,12,115.0,9.0,11,5,2,0.0,3,86.0,29.0,3,0,1,0,0,
org::eclipse::pde::internal::core::natures::FeatureProject,1,2,0,1,3,0,0,0,9.0,3.0,6,0,0,0.0,3,5.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::PDEFormPage,145,1,137,10,465,28,3,0,358.0,31.0,0,3,3,0.0,20,124.0,97.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::plugin::NewProjectCreationOperation,46,1,3,43,231,1,6,0,440.0,22.0,0,6,11,0.0,2,258.0,115.0,2,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::feature::AbstractNewFeatureWizard,6,2,1,5,21,2,7,0,40.0,7.0,8,1,0,0.0,5,21.0,11.0,0,0,0,0,0,
org::eclipse::pde::internal::core::text::cheatsheet::simple::SimpleCSObject,5,4,1,4,55,10,1,62,30.0,11.0,312,1,0,0.0,10,18.0,9.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::SystemFileStorage,3,1,1,2,28,0,1,0,29.0,8.0,0,1,0,0.0,8,18.0,9.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::SimpleCSInputContextManager,2,2,1,1,1,0,0,0,7.0,2.0,29,0,0,0.0,2,4.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::core::text::DocumentObject,41,3,28,13,528,3,3,14,381.0,33.0,195,3,1,0.0,27,139.0,96.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::correction::RemoveNodeXMLResolution,8,3,1,7,3,0,0,6,27.0,3.0,17,0,0,0.0,2,15.0,8.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::feature::DataDetailsSection,10,3,0,10,91,0,3,0,125.0,14.0,21,2,2,0.0,11,63.0,32.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::FolderSelectionDialog,2,1,1,1,15,0,2,0,54.0,6.0,0,2,1,0.0,2,23.0,10.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::NewCommandKeyEvent,2,1,2,0,3,0,3,0,11.0,3.0,12,3,0,0.0,3,3.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::core::text::ctxhelp::CtxHelpRoot,3,5,2,1,21,0,1,30,22.0,7.0,253,1,0,0.0,7,8.0,7.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::target::TargetDefinitionWizardPage,5,2,2,3,21,0,10,0,110.0,7.0,4,7,1,0.0,2,28.0,16.0,2,0,0,0,0,
org::eclipse::pde::internal::ui::editor::schema::SchemaRootElementDetails,7,4,1,6,10,0,7,2,92.0,5.0,47,7,0,0.0,5,31.0,10.0,0,0,0,0,0,
org::eclipse::pde::internal::core::JavadocLocationManager,15,1,4,12,21,0,2,0,98.0,7.0,6,1,4,0.0,3,67.0,29.0,0,0,0,0,0,
org::eclipse::pde::internal::runtime::registry::RegistryBrowserLabelProvider,11,1,1,10,6,0,20,0,216.0,4.0,0,20,0,0.0,4,51.0,57.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::text::ManifestTextHover,10,2,2,8,3,0,2,0,30.0,3.0,11,2,1,0.0,2,20.0,10.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::nls::GetNonExternalizedStringsOperation,25,1,1,24,45,0,4,0,128.0,10.0,6,4,6,0.0,3,74.0,46.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::PDEMasterDetailsBlock,18,1,17,1,21,9,2,0,25.0,7.0,0,2,0,0.0,4,14.0,6.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::schema::SchemaInputContext,12,4,1,11,55,0,1,3,106.0,11.0,51,0,2,0.0,3,52.0,20.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::StructuredViewerSection,33,3,25,8,465,2,4,0,150.0,31.0,32,3,0,0.0,14,61.0,39.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::samples::SampleOperation,10,1,1,9,55,0,8,0,145.0,11.0,6,8,7,0.0,4,61.0,29.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::tests::macro::WizardCommandTarget,2,3,1,1,1,0,0,0,6.0,2.0,14,0,0,0.0,2,3.0,2.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::feature::InstallSection,10,3,1,9,45,0,3,0,109.0,10.0,21,3,0,0.0,10,50.0,18.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::launcher::PDESourceLookupDirector,9,1,1,9,45,0,2,0,151.0,10.0,0,2,4,0.0,5,72.0,44.0,1,0,0,0,0,
org::eclipse::pde::internal::core::variables::TargetHomeDynamicVariableResolver,1,1,0,1,0,0,0,0,3.0,1.0,6,0,0,0.0,1,2.0,1.0,0,0,0,0,0,
org::eclipse::pde::internal::core::plugin::ExternalPluginModel,5,8,3,2,3,0,1,4,8.0,3.0,160,1,0,0.0,3,6.0,2.0,0,0,0,0,0,
org::eclipse::pde::ui::templates::AbstractNewPluginTemplateWizard,21,4,19,2,55,2,1,0,63.0,11.0,5,1,0,0.0,10,36.0,16.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::cheatsheet::comp::actions::CompCSAddGroupAction,5,2,1,4,1,0,0,1,20.0,2.0,3,0,0,0.0,2,10.0,5.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::templates::rcp::HelloNonUIRCPNewWizard,2,6,0,2,1,0,0,0,7.0,2.0,20,0,0,0.0,2,5.0,2.0,0,0,0,0,0,
org::eclipse::pde::internal::core::builders::DependencyLoop,1,1,1,0,15,0,2,0,15.0,6.0,6,2,0,0.0,5,6.0,5.0,0,0,0,0,0,
org::eclipse::pde::internal::core::builders::JarManifestHeader,2,1,1,1,28,0,6,0,44.0,8.0,11,6,0,0.0,8,18.0,11.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::util::PluginContainmentAdapter,2,1,1,2,1,0,0,0,10.0,2.0,6,0,0,0.0,2,4.0,4.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::plugin::NewRuntimeLibraryDialog,4,1,1,3,21,0,5,0,55.0,7.0,0,5,0,0.0,3,19.0,8.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::parts::ComboViewerPart,1,1,1,0,78,0,4,0,57.0,13.0,6,3,0,1.0,13,36.0,18.0,1,0,0,0,0,
org::eclipse::pde::internal::ui::editor::target::ImplicitDependenciesSection,22,5,1,21,231,0,4,2,197.0,22.0,72,4,6,0.0,5,128.0,45.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::build::BuildUndoManager,7,2,1,6,21,0,0,0,87.0,7.0,29,0,3,0.0,2,35.0,23.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::PDESection,84,2,81,4,91,39,1,0,50.0,14.0,7,1,0,0.0,12,29.0,17.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::ctxhelp::NewCtxHelpWizard,3,1,0,3,10,0,1,0,27.0,5.0,0,0,1,0.0,3,15.0,5.0,0,0,0,0,0,
org::eclipse::pde::internal::core::WorkspaceFeatureModelManager,6,3,1,5,28,0,0,1,45.0,8.0,30,0,0,0.0,1,37.0,17.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::compare::ManifestContentMergeViewer,6,1,1,5,15,0,1,0,27.0,6.0,0,1,0,0.0,2,16.0,10.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::cheatsheet::RegisterCompCSWizardPage,3,2,1,2,3,0,0,5,9.0,3.0,21,0,0,0.0,3,5.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::core::PDEStateHelper,2,1,1,1,0,0,0,0,10.0,1.0,6,0,0,0.0,1,9.0,5.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::schema::NewRestrictionDialog,0,1,0,0,10,0,2,0,22.0,5.0,0,2,0,0.0,3,9.0,5.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::actions::OpenSchemaAction,11,1,2,9,28,0,2,0,124.0,8.0,0,2,5,0.0,3,50.0,23.0,0,0,0,0,0,
org::eclipse::pde::internal::core::cheatsheet::comp::CompCSModelFactory,8,1,1,7,28,0,1,0,24.0,8.0,13,1,0,0.0,8,15.0,8.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::toc::TocEditorContributor,0,3,0,0,1,0,0,3,6.0,2.0,33,0,0,0.0,2,2.0,2.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::tests::macro::AbstractStructuredCommand,14,2,4,10,120,2,1,0,155.0,16.0,18,0,4,0.0,5,81.0,47.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::feature::PluginReference,6,1,0,6,45,0,3,0,40.0,10.0,6,3,0,0.0,10,20.0,14.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::target::NewTargetDefinitionWizard,6,1,1,5,28,0,3,0,40.0,8.0,0,0,1,3.0,6,25.0,10.0,1,0,0,0,0,
org::eclipse::pde::internal::ui::launcher::ApplicationSelectionDialog,3,1,1,2,15,0,4,0,52.0,6.0,0,4,0,0.0,2,19.0,10.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::text::SchemaHyperlink,1,2,1,0,1,0,1,1,8.0,2.0,10,1,0,0.0,2,4.0,3.0,0,0,0,0,0,
org::eclipse::pde::ui::templates::ChoiceOption,4,3,0,4,36,0,4,0,88.0,9.0,23,4,4,0.0,5,41.0,20.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::BaseWizardSelectionPage,6,1,5,1,15,3,2,0,26.0,6.0,0,2,0,0.0,5,15.0,7.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::templates::rcp::MailTemplate,13,5,1,12,153,0,2,13,240.0,18.0,80,0,7,0.0,9,108.0,26.0,0,0,0,0,0,
org::eclipse::pde::internal::core::schema::SchemaObject,25,2,19,6,45,6,4,2,46.0,10.0,12,3,0,0.0,10,21.0,12.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::toc::actions::TocAddLinkAction,5,2,1,4,1,0,0,2,14.0,2.0,4,0,0,0.0,2,10.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::samples::ShowSampleAction,6,1,0,6,28,0,4,0,110.0,8.0,0,4,6,0.0,2,40.0,17.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::elements::DefaultElement,0,1,0,0,6,1,0,0,12.0,4.0,10,0,0,0.0,4,4.0,4.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::cheatsheet::NewSimpleCSFileWizard,2,2,1,1,1,0,0,1,7.0,2.0,5,0,0,0.0,2,5.0,2.0,0,0,0,0,0,
org::eclipse::pde::internal::core::bundle::WorkspaceBundlePluginModel,4,9,2,2,3,0,1,4,11.0,3.0,228,1,0,0.0,3,6.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::core::bundle::Bundle,9,2,2,7,36,0,2,0,44.0,9.0,31,2,0,0.0,8,34.0,15.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::toc::TocHTMLWizard,4,1,1,3,10,1,1,0,37.0,5.0,0,0,1,0.0,4,13.0,6.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::product::ProductIntroWizard,7,1,1,6,15,0,8,0,50.0,6.0,0,8,0,0.0,6,30.0,10.0,1,0,0,0,0,
org::eclipse::pde::internal::core::UpdateManagerHelper,13,1,1,12,6,0,0,0,63.0,4.0,6,0,3,0.0,1,45.0,13.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::plugin::ExtensionsSection,44,5,3,42,1540,0,15,2,1087.0,56.0,71,15,29,0.0,15,440.0,257.0,1,0,0,0,0,
org::eclipse::pde::internal::core::schema::SchemaElementReference,16,3,8,8,666,0,11,6,189.0,37.0,34,8,0,0.0,35,81.0,69.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::search::dependencies::DependencyCalculator,5,1,3,2,36,0,2,0,84.0,9.0,6,0,1,1.0,4,36.0,33.0,0,0,0,0,0,
org::eclipse::pde::internal::core::natures::BaseProject,6,1,3,3,28,3,1,0,72.0,8.0,0,1,2,0.0,3,26.0,16.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::feature::OpenReferenceAction,10,1,3,7,3,0,0,0,35.0,3.0,0,0,0,0.0,3,17.0,10.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::tests::macro::IndexPage,3,1,1,2,10,0,4,0,66.0,5.0,0,4,1,0.0,4,14.0,12.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::editor::cheatsheet::simple::SimpleCSFormOutlinePage,8,3,2,7,10,0,0,4,41.0,5.0,21,0,0,0.0,2,20.0,14.0,0,0,0,0,0,
org::eclipse::pde::internal::core::cheatsheet::comp::CompCSIntro,2,5,1,1,3,0,1,92,10.0,3.0,88,1,0,0.0,3,4.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::ui::wizards::ctxhelp::NewCtxHelpWizardPage,1,2,1,0,3,0,1,0,15.0,3.0,4,1,0,0.0,2,5.0,3.0,0,0,0,0,0,
org::eclipse::pde::internal::core::BundleManifestSourceLocationManager,8,1,2,6,36,0,1,0,127.0,9.0,6,1,2,0.0,7,73.0,34.0,1,0,0,0,0,
org::eclipse::pde::internal::ui::tests::macro::StopAction,3,1,0,3,28,0,1,2,33.0,8.0,9,1,0,0.0,8,24.0,11.0,0,0,0,0,0,
org::eclipse::pde::ui::templates::OptionTemplateWizardPage,4,1,1,3,3,0,3,0,32.0,3.0,0,3,0,0.0,3,14.0,8.0,0,0,0,0,0,
